Day,Channel,Action,Subject Line or Script Summary,Personalization Notes,Goal
1,Email,Initial outreach,{{FirstName}} — saw {{Company}} is scaling {{Department}},Reference a recent company milestone (funding round; new hire post; product launch) from LinkedIn,Open a conversation — no hard CTA; just establish relevance
2,LinkedIn,Connection request,No message — connect only,Warm the relationship before messaging,Get accepted so future LinkedIn touches land
4,Email,Follow-up with value,Quick resource for {{pain point}} teams like {{Company}},Attach a relevant one-pager or short case study matching their industry,Provide value and gauge engagement via open/click tracking
6,LinkedIn,Profile engagement,Like or comment on their recent post,Reference something specific they shared — show you actually read it,Stay visible in their feed and build familiarity
8,Phone,First call attempt,"Hi {{FirstName}} — I'm [Name] from [Company]. I work with {{similar company}} teams on [problem]. Got 30 seconds?",Have their LinkedIn profile open; reference their role and a specific challenge,Book a 15-minute discovery call; if voicemail leave a brief warm message
9,Email,Breakup tease + social proof,"How {{Similar Company}} cut {{metric}} by 40%",Include a specific result from a customer in their space,Drive a reply by showing peer results and implying urgency
12,LinkedIn,Direct message,"Hey {{FirstName}} — shared a resource via email last week on {{topic}}. Curious if it resonated with what your team is seeing?",Reference the case study you sent on Day 4,Get a reply and move the conversation off LinkedIn
15,Phone,Second call attempt,"Following up on the voicemail from last week — wanted to see if {{pain point}} is still a priority for {{Company}} this quarter",Mention the email content they may have opened (check tracking),Book the meeting or confirm disinterest so you can adjust
18,Email,Different angle,"{{FirstName}} — a question about {{Company}}'s approach to {{adjacent topic}}",Try a new angle: ask about their strategy instead of pitching yours,Re-engage by making them the expert; invite a genuine conversation
22,Video,Personalized video (60s),"Record a short Loom: 'Hi {{FirstName}} — wanted to show you one thing relevant to {{Company}}'",Show their website or product on screen; point out a specific observation,Stand out from text-only outreach; drive a reply via novelty
26,Email,Final value drop,"Last one from me — but thought this was worth sharing",Include a relevant benchmark report or invite to an upcoming webinar,One last reason to engage before the sequence closes
30,Email,Polite breakup,"Closing the loop — {{FirstName}}",Short and respectful; make it easy to reply 'not now' or 'try me in Q3',Get a definitive yes/no/later and clean your pipeline
